Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro Prefixado;01/01/2014;04/2011;724,137326;157842,20;114299428,60
Tesouro Prefixado;01/07/2011;03/2011;973,467380;57854,40;56319371,17
Tesouro Selic;07/03/2015;04/2011;4655,927965;39446,20;183658665,68
Tesouro Prefixado com Juros Semestrais;01/01/2013;04/2011;966,303930;17560,00;16968297,01
Tesouro Prefixado com Juros Semestrais;01/01/2014;04/2011;967,761238;143671,20;139039418,38
Tesouro Prefixado com Juros Semestrais;01/01/2017;04/2011;914,160164;311903,00;285129297,48
Tesouro Prefixado com Juros Semestrais;01/01/2021;04/2011;905,724733;118307,80;107154300,58
Tesouro Prefixado;01/01/2013;04/2011;823,738387;777833,60;640731394,91
Tesouro IPCA+ com Juros Semestrais;15/08/2012;04/2011;2038,327988;174326,20;355333972,45
Tesouro IPCA+ com Juros Semestrais;15/05/2035;04/2011;1985,694285;27684,40;54972754,86
Tesouro IPCA+ com Juros Semestrais;15/08/2020;04/2011;2014,891588;39928,00;80450591,32
Tesouro IPCA+;15/05/2035;04/2011;508,242187;164898,80;83808526,71
Tesouro Selic;07/03/2012;03/2011;4617,006432;57503,00;265491720,85
Tesouro Selic;07/03/2017;03/2011;4614,916045;5138,40;23713284,60
Tesouro Prefixado;01/01/2015;03/2011;635,652923;93701,20;59561441,69
Tesouro IPCA+ com Juros Semestrais;15/08/2020;11/2014;2623,573052;401220,51;1052631317,74
Tesouro IPCA+ com Juros Semestrais;15/05/2035;11/2014;2639,488429;172618,91;455625615,62
Tesouro IPCA+;15/05/2035;11/2014;862,876463;1563360,57;1348987038,66
Tesouro Selic;07/03/2017;10/2014;6425,913291;224466,04;1442399309,77
Tesouro Prefixado;01/01/2015;10/2014;982,171552;528503,43;519081034,12
Tesouro Prefixado;01/01/2016;10/2014;895,263207;803760,45;719577157,72
Tesouro IPCA+ com Juros Semestrais;15/05/2045;10/2014;2464,134226;64637,70;159275968,87
Tesouro IGPM+ com Juros Semestrais;01/07/2017;10/2014;2878,381165;6755,78;19445709,90
Tesouro IPCA+ com Juros Semestrais;15/05/2015;10/2014;2542,115697;270307,36;687152582,93
Tesouro IPCA+ com Juros Semestrais;15/05/2017;10/2014;2556,313490;71930,23;183876217,29
Tesouro IGPM+ com Juros Semestrais;01/01/2031;10/2014;3866,265269;10371,00;40097037,10
Tesouro IGPM+ com Juros Semestrais;01/04/2021;10/2014;2640,258105;7156,90;18896063,22
Tesouro IPCA+ com Juros Semestrais;15/08/2024;10/2014;2443,615114;55403,40;135384585,59
Tesouro IPCA+ com Juros Semestrais;15/08/2050;10/2014;2735,483007;112548,56;307874673,32
Tesouro Prefixado;01/01/2017;10/2014;787,900982;1346860,13;1061192418,96
Tesouro IPCA+;15/05/2015;10/2014;2400,203583;824136,57;1978095548,42
Tesouro IPCA+;15/08/2024;10/2014;1438,628967;1089472,61;1567346855,83
Tesouro IPCA+;15/05/2019;10/2014;1937,296214;635487,23;1231127004,96
Tesouro Selic;07/03/2017;12/2014;6541,045460;251791,50;1646979647,95
Tesouro Prefixado;01/01/2015;12/2014;999,581661;519620,66;519403282,18
Tesouro Prefixado;01/01/2016;12/2014;909,563764;783318,99;712478569,19
Tesouro Selic;07/03/2015;10/2014;6420,820801;45462,70;291907849,81
Tesouro Prefixado com Juros Semestrais;01/01/2017;10/2014;983,524217;260827,16;256529828,34
Tesouro Prefixado com Juros Semestrais;01/01/2021;10/2014;964,508695;186912,29;180278528,83
Tesouro Prefixado com Juros Semestrais;01/01/2023;10/2014;999,079289;293090,74;292820888,16
Tesouro Prefixado;01/01/2018;09/2014;683,720976;464075,58;317298208,43
Tesouro Prefixado com Juros Semestrais;01/01/2025;09/2014;887,719466;118566,27;105253585,83
Tesouro IPCA+ com Juros Semestrais;15/05/2035;10/2014;2691,721631;170149,83;457995977,90
Tesouro IPCA+ com Juros Semestrais;15/08/2020;10/2014;2602,153330;395409,45;1028916017,07
Tesouro IPCA+;15/05/2035;10/2014;858,214290;1546355,08;1327104027,75
Tesouro Prefixado;01/01/2018;11/2014;697,779157;544528,53;379960658,43
Tesouro Prefixado com Juros Semestrais;01/01/2025;11/2014;906,900994;136747,64;124016570,57
Tesouro Selic;07/03/2015;12/2014;6537,165223;44587,51;291475919,72
Tesouro Prefixado com Juros Semestrais;01/01/2017;12/2014;1003,483680;257220,25;258116322,98
Tesouro Prefixado com Juros Semestrais;01/01/2021;12/2014;982,446098;182788,62;179579966,54
Tesouro Prefixado com Juros Semestrais;01/01/2023;12/2014;1016,095240;286330,30;290938854,98
Tesouro Prefixado com Juros Semestrais;01/01/2027;08/2019;956,921837;393871,50;376904239,32
Tesouro IPCA+;15/05/2045;08/2019;921,348375;1643728,41;1514446499,49
Tesouro IPCA+ com Juros Semestrais;15/05/2045;09/2019;3204,029705;45072,42;144413372,55
Tesouro IGPM+ com Juros Semestrais;01/01/2031;09/2019;4955,297769;8149,16;40381514,36
Tesouro IGPM+ com Juros Semestrais;01/04/2021;09/2019;3985,708607;5270,60;21007075,78
Tesouro IPCA+ com Juros Semestrais;15/05/2035;11/2019;3408,204435;542723,73;1849713423,56
Tesouro Prefixado com Juros Semestrais;01/01/2011;11/2007;1000,303058;3991,00;3992209,50
Tesouro Prefixado com Juros Semestrais;01/01/2012;11/2007;932,120253;30126,20;28081241,17
Tesouro Selic;17/03/2010;11/2007;3281,239386;30290,00;99388741,00
Tesouro Selic;18/06/2008;11/2007;3281,078524;12672,80;41580451,91
Tesouro Selic;18/03/2009;11/2007;3279,067313;31867,80;104496661,33
Tesouro Selic;16/03/2011;11/2007;3286,034051;5837,60;19182552,37
Tesouro Prefixado com Juros Semestrais;01/01/2013;10/2007;978,849345;813,40;796196,05
Tesouro Prefixado com Juros Semestrais;01/01/2014;10/2007;926,751530;24244,00;22468164,10
Tesouro Prefixado com Juros Semestrais;01/01/2017;10/2007;967,596081;27933,40;27028248,36
Tesouro IPCA+ com Juros Semestrais;15/08/2012;10/2007;1632,545410;2900,00;4734381,68
Tesouro IPCA+ com Juros Semestrais;15/05/2035;10/2007;1506,202724;5091,60;7668981,78
Tesouro IPCA+ com Juros Semestrais;15/05/2045;09/2007;1326,784242;14436,60;19154253,38
Tesouro Selic;07/03/2013;09/2007;3229,658792;1448,40;4677837,79
Tesouro IGPM+ com Juros Semestrais;01/07/2017;09/2007;1682,496502;10402,60;17502338,11
Tesouro IPCA+ com Juros Semestrais;15/05/2015;09/2007;1510,850758;15640,80;23630914,53
Tesouro IPCA+ com Juros Semestrais;15/05/2017;09/2007;1610,531213;1307,80;2106252,72
Tesouro IGPM+ com Juros Semestrais;01/01/2031;09/2007;2604,604160;13915,60;36244629,64
Tesouro IGPM+ com Juros Semestrais;01/04/2021;09/2007;1634,970998;10099,20;16511899,10
Tesouro IPCA+ com Juros Semestrais;15/08/2024;09/2007;1350,115826;11892,20;16055847,42
Tesouro IPCA+;15/05/2015;09/2007;925,550791;78302,80;72473218,45
Tesouro IPCA+;15/08/2024;09/2007;489,180380;134661,80;65873910,54
Tesouro IPCA+ com Juros Semestrais;15/05/2009;10/2007;1643,022764;32200,20;52905661,61
Tesouro IPCA+ com Juros Semestrais;15/05/2011;10/2007;1594,865761;18821,80;30018244,38
Tesouro IPCA+ com Juros Semestrais;15/08/2008;10/2007;1653,787158;29965,40;49556393,70
Tesouro IPCA+ com Juros Semestrais;15/08/2010;10/2007;1582,808572;22900,60;36247265,98
Tesouro IGPM+ com Juros Semestrais;01/04/2008;10/2007;1979,216541;8128,00;16087072,04
Tesouro IGPM+ com Juros Semestrais;01/03/2011;10/2007;1869,786924;15574,80;29121557,38
Tesouro Prefixado com Juros Semestrais;01/01/2008;10/2007;1023,221423;36587,80;37437420,79
Tesouro Prefixado com Juros Semestrais;01/01/2010;10/2007;973,416018;32157,20;31302333,55
Tesouro Prefixado com Juros Semestrais;01/07/2010;10/2007;1004,406278;8748,20;8786747,00
Tesouro Prefixado com Juros Semestrais;01/01/2011;10/2007;992,106067;3770,20;3740438,29
Tesouro Prefixado com Juros Semestrais;01/01/2012;10/2007;922,381732;30883,80;28486652,92
Tesouro Selic;17/03/2010;10/2007;3253,600853;31467,80;102383660,93
Tesouro Selic;18/06/2008;10/2007;3252,911049;12947,00;42115439,34
Tesouro Selic;18/03/2009;10/2007;3251,196489;32934,20;107075555,40
Tesouro Selic;16/03/2011;10/2007;3258,363202;4855,20;15820005,01
Tesouro Prefixado;01/01/2008;10/2007;978,159333;85552,40;83683878,52
Tesouro Prefixado;01/04/2008;10/2007;955,546220;45565,60;43540036,84
Tesouro Prefixado;01/07/2008;10/2007;920,289677;80133,80;73746308,94
Tesouro Prefixado;01/10/2008;10/2007;907,963068;14521,20;13184713,30
Tesouro Prefixado;01/01/2009;10/2007;863,967979;130523,00;112767692,56
Tesouro Prefixado;01/07/2009;10/2007;844,311375;35402,60;29890817,90
Tesouro Prefixado;01/10/2009;10/2007;811,429474;34617,20;28089416,39
Tesouro Prefixado;01/01/2010;10/2007;789,736578;2980,20;2353572,94
Tesouro Selic;07/03/2012;10/2007;3258,223110;7981,40;26005181,92
Tesouro Prefixado;01/01/2018;03/2014;634,503702;183805,42;116625219,38
Tesouro Prefixado com Juros Semestrais;01/01/2025;03/2014;851,924526;45934,69;39132889,01
Tesouro Prefixado;01/01/2018;01/2014;617,707126;17212,04;10631999,76
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/2014;826,621562;5021,82;4151144,69
Tesouro IPCA+ com Juros Semestrais;15/05/2045;02/2014;2346,339132;68364,89;160407216,62
Tesouro IGPM+ com Juros Semestrais;01/07/2017;02/2014;2777,670009;7160,68;19890006,08
Tesouro IPCA+ com Juros Semestrais;15/05/2015;02/2014;2416,899007;283994,86;686386895,14
Tesouro IPCA+ com Juros Semestrais;15/05/2017;02/2014;2437,738819;76481,54;186442018,97
